test_labels,predictions
1.0,-0.07585089
1.0,-1.7454928
2.0,4.8828673
0.0,-1.2120914
3.0,-1.6607076
2.0,0.52217263
1.0,1.6173241
3.0,2.1972034
2.0,-1.7141834
8.0,-1.713992
2.0,-0.9535063
1.0,-1.6667873
3.0,-1.1288526
1.75,3.1573303
1.0,3.7998939
1.0,-1.7494187
1.0,-1.7163771
1.0,-1.4997659
1.0,-0.57753086
3.0,-0.31374872
2.0,-1.7158957
2.0,2.4159975
1.0,0.7610245
1.0,0.15822366
1.0,3.3766012
2.0,1.3935397
19.0,2.1184976
3.0,-1.7393922
2.0,-1.237511
1.0,-1.3928763
1.0,-1.7277017
1.0,-1.7161382
1.0,8.49039
3.5,-1.1559265
2.0,-1.1664298
0.0,1.1457312
4.75,-1.6677517
1.0,-1.705898
1.0,-1.669806
2.0,1.9605908
12.0,9.938302
1.0,5.8309827
2.0,1.206521
10.0,22.643469
2.0,1.907085
0.0,1.3521984
6.0,0.25586057
1.0,-0.313127
1.0,-1.6413099
2.0,-1.6706886
1.0,-0.9734893
4.0,-1.4304088
3.0,-1.7140661
1.0,0.057129566
2.0,0.9555058
4.0,1.846041
0.0,-0.08731606
1.0,-1.5128369
2.0,0.037765153
1.0,-1.6461983
1.0,-1.1920122
15.0,-0.94805616
1.0,-0.91796273
4.0,-0.78713673
1.0,-1.4274879
1.0,-1.7059559
1.0,-1.1805465
1.0,-1.7321374
0.0,-1.6976277
0.0,1.9590194
1.0,-1.6355597
1.0,0.71768296
2.0,-0.669737
1.0,-0.24617988
2.0,0.9301792
2.0,5.7488194
0.0,-1.1992389
2.0,-1.3427261
1.0,-1.6278007
2.0,-1.6541619
1.0,1.339064
2.0,-1.5661931
2.0,-1.7215914
1.0,-1.5119246
0.0,0.017352369
3.0,2.4040658
4.0,-1.7261677
2.0,-1.4954087
1.0,-1.745249
24.0,1.7562525
1.0,-1.7099221
6.5,2.217369
69.0,-0.91297144
1.0,0.09432918
5.0,0.9751677
2.0,-1.0155711
1.0,-1.688323
1.0,-1.6365542
1.0,-1.658418
10.333333,-1.7554879
1.0,-1.2752019
18.0,1.6361644
3.0,-1.7070259
1.0,-1.3759528
1.0,0.88043797
1.0,-0.735939
5.0,0.87692463
1.0,-1.6661601
1.0,-1.612774
1.0,-1.7252051
1.0,-1.4577705
2.0,3.5713127
1.0,0.49388027
6.0,2.1302872
1.0,-0.5736284
1.0,-1.7243874
1.0,0.98138976
2.0,-1.0658256
2.0,0.5887297
3.0,0.72139436
1.0,-0.15383637
7.0,1.9302098
1.0,-1.5500726
0.0,-0.48762405
1.0,-1.6249233
2.0,-1.6772534
1.0,-0.3005239
1.0,-0.8168219
3.0,-1.7520235
2.0,-0.29513955
10.0,2.3207839
1.0,-1.7285573
2.0,-0.49653557
6.0,1.6256796
9.0,-1.5101982
1.0,0.26551166
1.0,1.6162858
2.0,-1.7343298
1.0,-0.044224687
2.0,8.995937
1.0,-1.7007623
69.0,-0.033377573
1.0,0.8658541
4.0,1.7130684
3.0,-1.1914448
1.0,-0.84169465
1.0,-1.7142203
2.0,-1.7071184
1.0,-1.6640687
3.0,-1.124108
3.0,-1.741142
1.0,3.2141824
1.0,-0.6768061
2.0,0.27069068
1.0,-1.3628516
18.0,1.7187703
23.75,-0.6097967
1.0,-1.703527
0.0,0.9659162
15.0,1.37802
1.0,-1.7164373
1.0,0.7662286
2.0,-1.6187763
0.0,-1.4633963
1.0,-1.7088877
1.0,3.3534887
2.0,-0.32655188
1.5,-0.18758962
1.0,-1.7489369
1.25,0.63098925
1.0,-1.5692589
1.0,-1.6878794
0.0,-0.70815367
2.0,0.8274333
0.0,-1.7216477
8.0,1.3670118
2.0,-1.167694
1.0,-1.5039742
1.5,-1.3136996
1.0,-0.68844885
12.0,-0.615658
1.0,-0.3155505
1.0,-1.7259313
0.0,-1.7451748
5.0,2.2758327
1.0,-1.6647071
1.0,-1.737865
2.0,-1.0708429
4.0,3.5047214
1.0,-1.0834459
2.3333333,-1.1699046
1.0,-1.337052
1.0,-1.3302224
1.0,-1.7200668
3.0,-1.6749433
0.0,-0.7664087
1.0,1.7385578
1.3333334,-1.637332
1.0,-1.5636946
1.0,-0.83108824
1.0,-1.7481709
2.0,2.8632503
2.0,-1.748427
1.0,2.5061285
1.0,1.1551453
1.0,2.7179897
11.0,1.3490334
1.0,-1.7377356
1.0,-1.3264351
1.0,-1.6772013
0.5,-1.0391722
4.0,-0.49289295
2.0,-0.6062533
1.0,-1.7230074
1.5,-0.25690985
1.0,2.0150304
1.0,-1.7044704
1.0,1.2310867
2.0,-0.7452824
1.5,-1.4663216
6.0,1.1359242
3.0,15.859556
2.0,-1.4057523
2.5,0.29921487
9.0,5.1492386
1.0,-1.2987385
1.0,-1.5802608
12.0,0.712218
1.0,-0.7775936
1.0,2.3695078
2.0,-1.107696
2.0,4.3268394
3.0,8.841353
2.0,1.3139871
1.0,-0.61821455
1.0,-1.7361318
1.0,-1.2436225
12.0,4.186609
1.0,1.2823092
4.0,3.0858471
1.0,-1.7473582
3.0,-0.6329132
1.0,0.9945669
14.0,4.3647738
2.25,-0.5230162
0.0,-1.5668579
1.0,-1.4005381
1.0,-1.6835442
1.0,-1.7377771
1.5,-1.719859
1.0,-1.5205777
4.0,-1.6871601
1.0,-1.6534617
1.0,0.799836
3.0,0.6848801
2.0,2.624667
1.0,-1.6677821
0.0,-1.4382004
5.0,-0.34241533
11.0,1.8597151
2.0,-1.3890703
1.0,-0.35124353
3.0,-1.7411774
1.0,-1.690587
1.0,-1.3607736
3.0,4.000636
6.0,-1.5756332
1.0,-1.11933
1.0,-1.6702157
1.0,-1.7544187
3.0,-1.6187624
2.0,-1.6860727
1.0,-1.7279055
1.0,0.90644443
1.0,-1.5044651
0.0,-0.18785097
1.0,-1.7408977
1.5,-1.519109
2.0,-0.6766143
5.6666665,1.7977633
1.0,-1.6993896
1.0,-0.8683016
1.0,-1.5563184
1.0,-1.6934527
2.0,3.0893855
1.0,-1.4906405
1.0,0.09025945
1.0,-1.1341964
1.0,-0.71604806
1.0,-1.6498884
6.0,-0.56849515
4.0,-1.59177
1.0,-1.0681012
1.0,0.76565707
1.3333334,0.725246
13.0,-1.539637
11.0,2.2156534
2.0,-1.6979322
2.0,-1.5733752
1.0,2.0505807
2.0,0.75885266
3.0,-1.7525194
1.0,-1.7096545
4.0,-1.7175983
2.0,-1.341975
3.0,-1.327283
1.0,-1.733316
1.0,-0.65692633
1.0,2.3036175
1.0,-1.2858559
2.5,-1.744082
1.0,-1.6694571
1.0,-1.7489871
1.0,-1.5026231
3.0,2.4423332
1.0,-1.0998353
1.0,-1.7331579
1.0,-0.7239199
1.0,-1.6955981
1.0,1.4082075
2.0,-0.92358893
1.0,-1.6313289
3.0,-0.92756504
9.0,1.7105383
6.0,-1.3755858
2.0,-1.7294042
3.0,-0.7189955
1.0,-1.5630703
1.0,-1.0790126
2.0,-1.729321
69.0,0.99685663
1.0,-1.6158733
1.0,-1.62238
1.0,-1.7509675
1.0,4.591688
1.0,-1.6735088
18.0,0.27547216
1.0,1.7683884
18.0,0.6619274
1.0,2.1817632
2.0,1.3152092
2.0,-1.4629518
1.0,0.14055423
1.0,-0.34985957
1.0,1.3399862
1.0,-1.6162059
0.0,-1.7046361
1.0,2.6034353
28.0,3.242698
6.0,-0.53736305
2.0,1.3350046
2.0,2.4430757
1.0,-1.6962489
1.0,-1.6748959
1.0,2.951569
0.5,-1.5266395
5.0,-1.7449971
0.0,-1.6840988
3.0,-0.38109648
1.0,5.1402116
12.0,-0.9495022
1.0,-1.6723431
1.0,-1.6939721
21.0,0.2812573
1.0,-1.6991371
2.0,3.2797704
1.0,-1.6996322
12.0,0.4852509
0.0,-1.2964658
0.0,-0.8160735
1.0,-1.268294
1.0,-1.4371312
1.0,-1.7042001
1.0,0.14715959
4.0,-1.7343353
3.0,0.9195747
9.0,5.282166
4.75,-1.5940583
0.0,-0.7261955
1.0,-1.1743493
1.0,-0.80774176
1.0,-1.6429313
6.0,1.675345
2.0,0.96285117
3.0,-1.4653974
1.0,2.5485272
2.0,-0.39775968
1.0,-0.9924405
2.0,-0.45456275
7.0,0.07790828
2.0,0.46751758
1.0,-0.59501624
1.0,-1.6641364
1.0,-1.4412951
3.0,-0.78919536
7.5,0.65648794
1.0,1.2421263
1.0,-1.7105428
1.0,-1.722341
2.0,-1.6536989
1.0,-1.7098268
6.5,2.1155531
1.0,-1.5795454
3.0,3.4700322
2.0,-1.7333728
1.0,0.8626922
1.0,-1.7284373
1.0,-1.7467824
3.0,-1.4405224
0.0,-0.55385935
1.0,-1.7391396
3.0,-1.0531465
1.0,-1.433858
2.0,-1.6379107
2.0,0.0115716765
0.0,-1.7503575
1.0,0.15805463
0.0,-1.733376
9.0,-1.481906
1.0,-1.7215161
1.0,-1.6005406
0.0,-1.4756578
1.0,-1.739266
6.0,-1.7355218
1.0,2.9674287
4.0,-1.5819063
2.0,-1.0447117
12.0,0.40471956
1.0,25.277365
4.0,0.18374722
1.0,-1.6296299
1.0,-1.7111645
1.0,-1.0415579
1.0,-1.1025838
1.0,-0.9350981
0.0,-1.6445571
1.0,-1.2384057
9.0,4.658476
1.0,-0.061519586
3.0,-1.637253
15.0,0.31518957
1.0,-1.592468
2.0,-0.78812104
1.0,-1.6656599
1.0,2.003865
1.0,-1.2784127
5.0,0.4615381
4.0,-1.7358224
1.0,-1.7541269
2.0,-1.7267112
1.0,-1.723053
3.0,-0.033861917
0.0,-1.4243006
6.0,2.2825773
3.0,1.8907864
1.0,-1.7359598
0.0,-1.4138937
2.0,-0.18534961
1.0,2.2362587
4.0,2.8506284
12.0,1.2480533
0.0,-1.6259739
1.0,-0.763557
1.0,-1.7553355
1.0,-1.7307891
0.0,-1.5673064
0.0,-1.7022443
0.0,-1.1472647
4.0,0.6098511
0.0,-1.7449716
1.0,-1.2114636
3.0,-1.7146881
1.0,-1.714775
1.3333334,-1.7358451
1.0,-1.4588782
1.8,-1.5780634
2.0,2.2491753
2.0,1.7514802
30.0,5.7408414
6.0,-1.1138716
2.0,-1.7026721
1.5,-1.7146015
1.0,-1.1013036
1.0,-1.71865
1.0,-1.2579592
1.0,-1.751983
10.333333,-1.7425388
0.0,-1.4887911
3.0,0.52210534
4.0,1.850635
3.0,-1.1595951
